TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
121,230285.488,454639.681,0.853,3.1,0.937,3.9,4.3,4.9,11.7,14.9,826,4
285,230317.668,454719.883,0.776,3.2,0.138,4.8,5.4,6.8,18.1,22.8,1571,4
744,230400.464,454688.834,0.511,3.2,0.14,1.1,1.3,1.2,1.0,1.3,4142,4
342,230271.592,454668.756,1.203,3.2,0.226,0.9,1.4,0.7,0.6,0.9,1974,4
619,230404.65,454637.151,0.541,3.2,0.333,3.5,3.3,4.4,9.6,12.5,3708,4
193,230280.068,454606.053,0.631,3.2,0.374,1.3,1.1,2.2,1.4,1.8,1028,4
314,230331.299,454705.783,0.851,3.2,0.402,7.4,6.0,9.1,43.6,77.2,1986,4
310,230318.211,454689.714,0.848,3.2,0.43,5.5,6.6,5.6,23.8,29.3,1926,4
300,230297.342,454670.561,0.76,3.2,0.504,3.6,3.6,4.1,10.4,12.2,1739,4
922,230476.633,454582.253,0.91,3.2,0.63,1.4,1.8,1.4,1.5,3.4,5169,4
579,230394.125,454634.287,1.14,3.3,0.092,2.8,3.1,3.5,6.3,15.7,3330,4
327,230300.127,454674.907,1.022,3.3,0.149,3.2,2.9,4.2,8.0,16.3,1913,4
717,230403.384,454683.999,0.438,3.3,0.168,1.7,1.3,2.1,2.1,3.5,4038,4
905,230481.696,454597.503,0.334,3.3,0.204,6.1,6.1,7.0,29.0,53.9,5149,4
180,230263.066,454659.959,0.9,3.3,0.28,1.2,1.0,1.9,1.2,1.3,1236,4
185,230227.468,454611.569,0.954,3.3,0.28,1.7,1.9,1.9,2.1,3.6,1259,4
735,230405.241,454686.317,0.503,3.3,0.331,3.2,3.2,3.8,7.8,15.6,4277,4
173,230238.17,454626.08,0.825,3.3,0.621,1.9,2.6,1.8,2.7,4.4,1014,4
183,230265.305,454657.073,0.892,3.3,1.088,1.6,1.3,2.5,2.0,3.0,1020,4
161,230324.459,454610.942,1.019,3.3,1.207,2.8,2.6,4.0,6.0,13.6,1023,4
656,230380.525,454630.773,0.798,3.3,3.201,3.5,6.2,2.6,9.5,14.5,3761,4
130,230339.692,454619.758,0.838,3.4,0.198,0.5,0.3,0.7,0.2,0.4,1032,4
587,230391.758,454633.563,1.232,3.4,0.234,2.0,1.9,2.1,3.1,8.1,3468,4
268,230264.772,454659.364,0.973,3.4,0.488,1.1,0.9,1.3,0.9,1.0,1399,4
202,230241.188,454629.747,0.881,3.4,0.574,1.3,1.1,1.4,1.3,2.2,1174,4
221,230264.697,454660.037,1.0,3.4,0.608,1.2,1.4,1.4,1.1,1.3,1262,4
203,230279.59,454664.743,0.84,3.4,0.764,1.4,1.4,1.3,1.4,2.7,1082,4
229,230318.529,454603.607,1.318,3.5,0.108,3.2,4.0,3.3,8.1,16.0,1043,4
228,230322.76,454602.961,0.348,3.5,0.136,8.2,8.2,9.8,52.5,73.6,1258,4
250,230268.834,454646.378,0.432,3.5,0.234,4.1,4.5,4.7,13.4,18.0,1529,4
301,230278.832,454674.573,0.928,3.6,0.129,4.7,6.4,3.6,17.3,37.9,1494,4
204,230266.211,454661.391,1.311,3.6,0.204,2.0,2.6,1.7,3.0,6.0,1092,4
231,230252.981,454649.172,0.998,3.6,0.245,1.0,1.2,1.1,0.7,0.8,1280,4
249,230228.064,454611.068,0.843,3.6,0.315,0.7,0.7,0.9,0.4,0.8,1195,4
282,230253.996,454608.096,0.359,3.6,0.364,3.8,3.1,5.3,11.6,23.8,1481,4
816,230340.241,454689.355,0.773,3.7,0.06,7.6,6.7,11.1,45.5,61.9,4487,4
235,230228.134,454615.549,0.959,3.7,0.143,2.0,2.2,2.0,3.0,5.2,1491,4
263,230247.955,454612.764,0.374,3.7,0.229,6.7,8.1,6.0,34.8,44.6,1488,4
612,230379.138,454678.741,0.841,3.7,0.254,2.0,2.0,2.0,3.1,4.5,3606,4
137,230324.117,454611.986,0.967,3.7,0.368,2.9,3.5,3.8,6.4,15.0,851,4
219,230253.601,454644.238,0.913,3.7,0.509,1.4,1.8,1.6,1.6,2.6,997,4
338,230296.482,454698.222,0.597,3.7,0.527,8.3,10.5,7.8,53.8,86.0,1843,4
141,230260.023,454600.33,0.449,3.8,0.073,2.7,2.2,3.9,5.8,9.0,858,4
192,230239.387,454630.405,1.084,3.8,0.346,2.1,2.5,2.2,3.4,5.5,1070,4
741,230369.981,454685.337,0.392,3.8,0.347,4.4,4.5,5.5,15.0,21.5,4109,4
294,230274.351,454670.395,0.861,3.8,1.281,4.2,4.5,5.2,13.9,22.8,1831,4
618,230396.779,454636.314,0.916,3.8,1.819,4.3,6.8,4.4,14.8,30.5,3406,4
318,230285.138,454682.266,0.656,3.9,0.33,2.1,3.0,2.3,3.6,6.4,1794,4
208,230228.915,454610.155,0.808,3.9,0.703,1.1,1.1,1.4,1.0,1.7,1000,4
